ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Profit,Prior_purchases,Product_importance,Order_date,Ship_Date,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product Category,Product sub Category
1,D,Flight,4,2,177,8.85,3,low,17-03-2022,25-03-2022,F,44,1233,1,Office Supplies,Labels
2,F,Flight,4,5,216,10.8,2,low,12-09-2023,16-09-2023,M,59,3088,1,Office Supplies,Pens & Art Supplies
3,A,Flight,2,2,183,9.15,4,low,19-09-2022,26-09-2022,M,48,3374,1,Office Supplies,Papers
4,B,Flight,3,3,176,8.8,4,Not Specified,09-03-2020,12-03-2020,M,10,1177,1,Technology,Office Machines
5,C,Flight,2,2,184,9.2,3,Not Specified,12-07-2021,16-07-2021,F,46,2484,1,Technology,Tables
6,F,Flight,3,1,162,8.1,3,Not Specified,28-02-2020,02-03-2020,F,12,1417,1,Technology,Rubber Bands
7,D,Flight,3,4,250,12.5,3,low,07-01-2022,11-01-2022,F,3,2371,1,Office Supplies,Story Books
8,F,Flight,4,1,233,11.65,2,low,05-11-2021,08-11-2021,F,48,2804,1,Office Supplies,Envelopes
9,A,Flight,3,4,150,7.5,3,low,05-05-2021,13-05-2021,F,11,1861,1,Office Supplies,Bookcases
10,B,Flight,3,2,164,8.2,3,Not Specified,04-10-2023,14-10-2023,F,29,1187,1,Technology,Chair & Chairmates
11,C,Flight,3,4,189,9.45,2,Not Specified,27-05-2023,02-06-2023,M,12,2888,1,Technology,Telephones and Communications
12,F,Flight,4,5,232,11.6,3,Not Specified,22-05-2022,26-05-2022,F,32,3253,1,Technology,Copiers and Fax
13,D,Flight,3,5,198,9.9,3,Not Specified,18-07-2020,21-07-2020,F,1,3667,1,Technology,Storage & Organizations
14,F,Flight,4,4,203,10.15,3,Critical,26-09-2023,30-09-2023,M,29,2602,1,Office Supplies,Bookcases
15,A,Flight,4,3,152,7.6,3,low,10-09-2022,13-09-2022,M,43,1009,1,Office Supplies,Bookcases
16,B,Flight,4,3,227,11.35,3,low,11-10-2021,16-10-2021,F,45,2707,1,Office Supplies,Bookcases
17,C,Flight,3,4,143,7.15,2,Not Specified,01-07-2021,06-07-2021,F,6,1194,1,Technology,Bookcases
18,F,Ship,5,5,227,11.35,3,Not Specified,10-04-2023,12-04-2023,M,36,3952,1,Technology,Bookcases
19,D,Ship,5,5,239,11.95,3,Critical,27-06-2021,04-07-2021,M,18,2495,1,Office Supplies,Bookcases
20,F,Ship,4,5,145,7.25,3,Not Specified,11-10-2023,21-10-2023,M,45,1059,1,Technology,Bookcases
21,A,Ship,3,3,161,8.05,2,Not Specified,28-07-2020,06-08-2020,F,38,1521,1,Technology,Bookcases
22,B,Ship,3,1,232,11.6,4,Not Specified,26-11-2022,28-11-2022,F,51,2899,1,Technology,Bookcases
23,C,Ship,2,5,156,7.8,2,low,28-06-2022,05-07-2022,M,2,1750,1,Office Supplies,Bookcases
